userName,score,content,at,quarter
Yary Towers,4,The app needs to be updated to allow people to post pictures along with review.,2025-02-15 17:20:18,2025Q1
Sharon Babb,5,"The app makes finding places to stay, making reservations, keeping up with our reservations, and communication with hosts so easy.",2025-02-15 12:49:19,2025Q1
Amanda Sanabria-Lira,5,Reliable and secure,2025-02-15 12:36:34,2025Q1
Brittany M,5,"Love this app, so easy and beautiful hosts !",2025-02-15 12:25:25,2025Q1
Traci Walker,5,Easy peasy,2025-02-15 11:30:52,2025Q1
Emenina Surbakti,5,This is my second time to book through Airbnb...and I love it,2025-02-15 10:55:08,2025Q1
Sebastián Lambert,5,"Honestly the best on the market regarding private accomodations, especially with the payment breakdown and availability of places. I think prices are fair only sometimes the tax elevates the total considerably.",2025-02-15 10:43:41,2025Q1
Angel Santana,1,Same day cancelations no notice of water outages. Hotels arepre reliable,2025-02-15 10:34:59,2025Q1
Krylle Enesario,5,Amazing app,2025-02-15 08:47:55,2025Q1
Makcim Silveira,1,Garbage and useless. Costs the same as a hotel and the service is subpar. Full of bad experiences.,2025-02-15 08:23:38,2025Q1
שלום זיתוני,5,Good,2025-02-15 07:46:46,2025Q1
phillip p,1,"They let people leave BS reviews and then refuse to remove them so here is my review for them that won't be removed, be prepared to have information in your listing, someone not read it then complain about it and airbnb not remove the review bc ""it doesn't violate terms""",2025-02-15 07:00:47,2025Q1
Jonathan Stone,1,Expensive and bad cancelation policy. Use a hotel instead.,2025-02-15 06:42:51,2025Q1
Dave Truman,1,"Horrible UI/UX. And the most annoying part is that you set you price filter. And as a result your final price might be from 30 to 100% more because of cleaning fees, taxes, Airbnb service fee... And you never know where it's included where it's not. Looks like noone in your company even tried to use your app to be honest!",2025-02-15 05:56:20,2025Q1
"Plantes,Propriétés,& Divertissement",1,"Poor customer service all are robots please save time, money, and frustration.",2025-02-15 05:55:43,2025Q1
carlos geagea,3,A serious glitch with the app registration of phone number. Very frustrating. It fixed itself after a several hours.,2025-02-15 05:27:35,2025Q1
Hayden Miller,5,Great app. Hotels feel silly now.,2025-02-15 05:22:36,2025Q1
Adam Blase,4,Easy to use,2025-02-15 05:10:46,2025Q1
Vitor Cordeiro Pereira,1,high fees with no promotions and not many options of places to stay,2025-02-15 04:29:13,2025Q1
Cristian La Rocca,1,"Terrible support. I followed the official documentation to add business details to a trip, and the receipt was incorrectly created. Now they say they can't do anything about it, even when it was Airbnb mistake. The support people don't read the message and keeps replying the same thing everyday like bots. I would leave 0 stars if I could...",2025-02-15 04:10:03,2025Q1
Kapasi Yusufu,5,"It makes everything easier and cost effective,",2025-02-15 04:08:11,2025Q1
Gen Uy,5,"Easy to use and you can really find affordable stays, have been using this app I think since 2017.",2025-02-15 03:38:35,2025Q1
Borys Ortega,5,Excellent app for booking any property,2025-02-15 02:57:58,2025Q1
Henao Arias,5,Best app for your trip!,2025-02-15 02:43:11,2025Q1
Tyler Fritzsch,1,Bait and switch prices all over the place nowadays.,2025-02-15 02:27:23,2025Q1
PHILCAROL SMART,5,Easy to use,2025-02-15 01:55:20,2025Q1
juan mijares,5,"Very good way to search accommodation,I think need some improvements, like ,at the Map features, let you check how long distance between from the rent place to any other place like ( bus station, airport , supermarket etc)",2025-02-15 01:44:27,2025Q1
Nicole Lemme,4,"Efficient service, good communication",2025-02-15 01:10:54,2025Q1
Kevin P,5,great spaces at prices I can afford. All of my host have been fantastic.,2025-02-15 01:09:32,2025Q1
Vania Dimitrova,5,Very easy to find a nice place to stay within the dates I need it and the desired location.,2025-02-15 00:47:39,2025Q1
Michael Stanley,5,"A little time consuming, but very enjoyable.",2025-02-15 00:43:46,2025Q1
Christopher Nelson,5,Super easy to use. Less than. 5 min to set up.,2025-02-15 00:19:46,2025Q1
akshay ukey,5,Seamless booking experience.,2025-02-14 23:45:49,2025Q1
Temple Live,5,Airbnb is quick and has a lot of room. I recommend it if you like space,2025-02-14 23:42:04,2025Q1
Pinelawn Grimreaper,5,I recommend 👍🏾,2025-02-14 23:20:08,2025Q1
maria laura spanedda,5,Easy and fast!,2025-02-14 23:02:53,2025Q1
Sardorbek Tursunov,5,Excellent and great program. I use this app for two years,2025-02-14 22:54:45,2025Q1
Ethan Newman,1,gebbia took my job.,2025-02-14 22:53:58,2025Q1
ROSHAN GHORPADE,5,super..... 💝,2025-02-14 22:21:00,2025Q1
Elisha Z.,1,It doesn't work. Plaid is creepy. Can't book.,2025-02-14 22:18:33,2025Q1
RMcafe RMcafe,1,Very inconvenient and terrible ux,2025-02-14 22:08:42,2025Q1
Courtney Tweddle,5,great app Support is very helpful,2025-02-14 21:26:00,2025Q1
jeffry samsir,5,great App very helpful for my needs,2025-02-14 21:02:05,2025Q1
Mr B,4,Had some great stays and met some great hosts.,2025-02-14 19:46:32,2025Q1
Wagner Buono,1,"Had a rat, Airbnb didn't help 31st of Dec, found a rat in my bedroom. Found some droppings,indicating the rat was there for a while. Filmed the rat inside the walls and could hear the rat around. Called Airbnb emergency, which used all sorts of tricks to not help me. Including :"" you have to leave the call for me to escalate "". 10 hours later, I had to book a conventional hotel. Airbnb offered a voucher, which didn't cover all of the new costs, 13 hours later. They will pretend they're not liab",2025-02-14 18:40:10,2025Q1
Chantelle Cemal,5,"Great, easy to use, and access to many unique places.",2025-02-14 17:27:10,2025Q1
FUA'AVA TUI SAUMALU,5,Awesome,2025-02-14 17:24:08,2025Q1
lilian gladys,5,Top-notch 👌,2025-02-14 16:45:44,2025Q1
R Saravanan,5,Excellent 👍,2025-02-14 16:44:00,2025Q1
Gaven Hansen,1,Refund policy sucks,2025-02-14 16:22:17,2025Q1
Zaid Hassan,5,Good,2025-02-14 15:52:32,2025Q1
Jessica Brandy Fellows,5,"Super cheap, way cleaner than any hotels I've been at and the management is exceptional.",2025-02-14 15:14:04,2025Q1
Vijay Shankar,5,good,2025-02-14 14:54:40,2025Q1
Brylle Enriquez,5,very accommodating customer service,2025-02-14 13:48:24,2025Q1
Brandy Corboy,5,Makes it easy to find the perfect place for any need. The filters work pretty well overall.,2025-02-14 13:31:05,2025Q1
Lavell LEWIS,5,Very smooth app. No problems at all and I love it.,2025-02-14 13:23:13,2025Q1
Kimberly Brown,5,Love this app,2025-02-14 13:13:50,2025Q1
Velvet Quiroz,5,"Airbnb: Your Passport to Personalized Travel Magic Forget sterile hotel rooms and predictable tourist traps. Airbnb has revolutionized travel, transforming it from a simple trip into a deeply personal and enriching experience. It's not just an app; it's a gateway to unlocking unique accommodations and connecting with local communities around the globe.",2025-02-14 12:50:51,2025Q1
S McC,4,"Great app, works well. Just wish it was easier to star bookings we've already made.",2025-02-14 12:40:52,2025Q1
Flavio Bastos,4,"Its a good app. Most of the hosts on the platform are helpful and the stays are comfortable, but the prices are not so cheap. Read the listing descriptions properly before booking.",2025-02-14 12:16:08,2025Q1
Dyno Duque,1,Horrible customer service. If you're thinking of a cheaper alternative you're better off with another app.,2025-02-14 11:50:06,2025Q1
Nathaniel Lachuk,1,Apparently my account was erased and I can't adjust my bookings.,2025-02-14 11:43:45,2025Q1
David Mayer,5,"Fantastic. I've been a member/traveler for 13 years... I used to travel (not as much these days), but upwards of 180 days a year. Airbnb became a game-changer, not only for me, but also my traveling staff. SO many great experiences. On the rare occasion that I've had an issue or last minute cancelation, Airbnb customer service was right on top of it. Impressive.",2025-02-14 10:03:17,2025Q1
Elton Grubbs II,5,"I've had a LOT of good experiences and I travel a LOT, only 1 semi bad experience but it was partially my fault. Still giving good ratings.",2025-02-14 10:00:30,2025Q1
Ginger Hooper,1,Terrible data entry system.,2025-02-14 09:04:44,2025Q1
Ryan Pierce,5,Love it use on every trip way better then hotels five stars,2025-02-14 08:24:34,2025Q1
lina purnamasari,5,Membantu banget waktu pergi rame2. Thanks Airbnb,2025-02-14 07:36:32,2025Q1
Ruth Torres,5,It's easy to use and no hidden charges.,2025-02-14 07:36:18,2025Q1
Melissa,5,Amazing experience!,2025-02-14 07:20:16,2025Q1
Livisia,1,"As a host I had trouble getting payouts, but their Contact Support does not even bother to respond any more. Completely lost trust in Airbnb. Would not recommend to anyone.",2025-02-14 07:15:22,2025Q1
Greg Eke,3,"The app is a little slow and not as responsive as I'd like. Also, I ended up entering all my information twice because it lost everything. But it is got there in the end",2025-02-14 05:50:55,2025Q1
Donna Workman Kahny,1,"Airbnb ruined our vacation! Canceled us on short notice. The options given us were limited and not comparable. WE HAD a condo rental with a private balcony, pool, exercise room, a rooftop public area, In a nice area of PV, with wide, flat sidewalks and wide streets. WE GOT a very noisy neighborhood, terribly uneven sidewalks, no view, no pool, a 'house' connected to several others on all sides. Dogs barking ALL night, cars literally 2 feet from front door. UNHAPPY. Will not use this service.",2025-02-14 05:08:40,2025Q1
Caleb mong'are,5,Easy does it.,2025-02-14 04:38:44,2025Q1
Luana Lish,5,"Very helpful, informative and makes it easy to have peace of mind for a great stay and beautiful experience.",2025-02-14 04:34:45,2025Q1
Matt Lehn,5,It gives you a chance to LIVE the culture of the place you visit.,2025-02-14 04:06:36,2025Q1
Thomas Vernon,1,"Seriously disappointed I booked a place 4 months in advance for an international sports event and the host canceled a week in advance. Airbnb gave me a ""35$ credit"". This is outrageous. If I cancelled a week before, I would get 0 of my 750$ I paid. In the meantime all the nicer places have been booked and the ones remaining have their prices up for the event. 35$ is a disproportionate amount considering the fact that the other way around it would cost me 750$.",2025-02-14 03:07:43,2025Q1
Sharon Saridjan,1,How can I change the rate from £ to $?,2025-02-14 02:51:01,2025Q1
Angey Isitt,5,Seamless,2025-02-14 02:47:21,2025Q1
Girish Sharma,1,Horrible process to do the booking,2025-02-14 02:40:29,2025Q1
Alan Ortiz,5,Great places for inexpensive price,2025-02-14 02:28:40,2025Q1
srinivas reddy,1,Worst to reserve and book,2025-02-14 01:49:40,2025Q1
nicole Norris,5,Great!,2025-02-14 01:46:42,2025Q1
Tyrone Watson,5,Amazing,2025-02-14 01:45:51,2025Q1
Sapan Kumar,5,Just awesome,2025-02-14 01:42:06,2025Q1
Robert Parins,5,Works great,2025-02-14 00:43:50,2025Q1
Miroslav Baran,1,The user experience pretty lacking there is no clear way to change curency into euros.,2025-02-14 00:29:14,2025Q1
Avril Wild,5,A pleasant experience with lots to choose from and different sorts of experiences. Easy to use and very helpful.,2025-02-14 00:11:42,2025Q1
Al'monique Vaughan,5,Super easy to use,2025-02-13 23:42:30,2025Q1
Mary Madeline Benitez,5,Good,2025-02-13 23:05:13,2025Q1
Vera Ledina,5,All my stays was happy.,2025-02-13 22:49:23,2025Q1
Kevin Rey Perales,5,Best app in town,2025-02-13 22:32:40,2025Q1
John Stapleton,4,Great to book even though some accomodation can be a little sparse,2025-02-13 22:28:28,2025Q1
Zahir Awad,5,"Very useful app,save our time",2025-02-13 21:49:04,2025Q1
faisal reza rakiban,5,Good,2025-02-13 21:19:09,2025Q1
Andy Lawton,5,Great app,2025-02-13 20:26:17,2025Q1
SwordOfAli,1,"Even after selecting my country, it is showing prices in wrong currency. Also the map is very very difficult to use while you are in the area. App closes by just pressing 'back' anuwhere in the app. Pathetic experience",2025-02-13 18:58:40,2025Q1
Sanskruti Patel,5,Good,2025-02-13 18:29:01,2025Q1
Aja Hafiz,5,Tq Airbnb,2025-02-13 18:16:39,2025Q1
Shekhar Khandge,5,Excellent,2025-02-13 18:13:43,2025Q1
Shubam Goyal,1,Too much commision fromairbnb,2025-02-13 18:08:19,2025Q1
Art Hobba,5,Better customer interface!,2025-02-13 16:59:40,2025Q1
Josh Keppa,5,Very good,2025-02-13 15:45:05,2025Q1
Shubham Thakur,5,Very good,2025-02-13 15:39:53,2025Q1
Martin,5,They are very reliable,2025-02-13 15:37:05,2025Q1
Mehrara Keshavarz,5,It has helped me in really difficult situations by providing instant accomodations for a budget friendly price. It's one of the best apps for finding homes for travellers! Recommended.,2025-02-13 15:32:50,2025Q1
Aaron Swanson,5,Easy to use,2025-02-13 14:38:23,2025Q1
Yani S,5,Good..,2025-02-13 14:37:02,2025Q1
Faraz,2,My airbnb app not opening,2025-02-13 13:50:55,2025Q1
Sunly Ear,5,User experience is very good,2025-02-13 13:40:00,2025Q1
pradeep parikh,5,Great,2025-02-13 13:06:37,2025Q1
Muhammad Rovaid,4,good and helpful,2025-02-13 11:52:18,2025Q1
Alicia Herfurth,1,I don't want to give you my SS number or a photo of my id...,2025-02-13 11:39:54,2025Q1
Steven,1,Why do we pay for a full day and can only check on at 3pm??,2025-02-13 11:26:09,2025Q1
Derrick,3,Good,2025-02-13 10:51:20,2025Q1
Katie Kocher,4,Love the app. Cleaning fees are always tough for me but the house I just booked was only $20!!,2025-02-13 10:26:51,2025Q1
Anthony Menezes,5,Amazing experience,2025-02-13 10:13:39,2025Q1
The G O A T,1,Hard work to get verified,2025-02-13 09:38:45,2025Q1
Dennis Sipf,5,Very easy to use!,2025-02-13 08:57:14,2025Q1
pierrie miller,5,Seemless,2025-02-13 08:30:02,2025Q1
Abdul Azeem Shaikh,5,Very helpful app,2025-02-13 07:59:56,2025Q1
Mariana Banana,5,I DID NOT KNOW HOW EASY AND SIMPLE IT WAS TO OPERATE.,2025-02-13 07:58:27,2025Q1
Wes Lauj,5,It is very useful and easy to use. Gets all the details and info on the app.,2025-02-13 07:35:42,2025Q1
Cristian Vargas,5,Excellent app to find places to stay short and long term,2025-02-13 07:26:18,2025Q1
Miguel Aguirre,2,"The app works fine, always double check your rental rate, but the customer service is biased towards positive reviews only. Hosts retaliate by removing positive reviews if you leave a critical review. Prices are comparable to equal hotel services and sometimes this app is more expensive.",2025-02-13 06:12:51,2025Q1
Liz Miller,5,Brilliant,2025-02-13 06:10:25,2025Q1
Denny Weakland,5,So easy to use,2025-02-13 05:19:37,2025Q1
Thomas Tracey,5,I rely on this App for international travel!,2025-02-13 05:09:15,2025Q1
Karl,4,Upto now great,2025-02-13 05:03:28,2025Q1
U O,3,"Sometimes messages dont pop up, gotta keep checking the inbox just in case a request came. Customer service keeps getting worse and worse.",2025-02-13 03:48:09,2025Q1
Rhonda Mckillips,5,"very easy to use, fast response time",2025-02-13 03:20:23,2025Q1
Steven Blakney,4,"Has been great so far,lots of great options available",2025-02-13 03:08:15,2025Q1
Mr & Mrs Tyagi,5,luv it,2025-02-13 03:06:43,2025Q1
Richard Swafford,5,Excellent experience always,2025-02-13 02:43:36,2025Q1
Naval Gupta,3,Being an app someone the things in real life do not not well when you actually use it as happened with us in Dubai and abudhabi,2025-02-13 02:06:12,2025Q1
Te Te,1,"If there is less than a star, I would give this app. As a gust, they don't support you. Customer support? Forget about such thing. They only protect the host. Even if they eat up all of your money, the support won't say anything. DON'T DOWNLOAD!!",2025-02-13 02:02:49,2025Q1
Bughunter Nerd,1,add a dark theme.,2025-02-13 01:57:31,2025Q1
A Google user,5,Excellent,2025-02-13 01:26:04,2025Q1
Bhalinder Singh (Balwin),2,The map never loads and I'm left staring at a blank screen with price bubbles.,2025-02-12 22:53:10,2025Q1
Susan Hunter,5,Great site with lots of good options,2025-02-12 19:33:30,2025Q1
Sally-Anne Whittington,5,"A great variety of homes available to book at short notice. We've been using Airbnb for years now and, apart from 3 homes, we've loved everywhere we've stayed.",2025-02-12 16:38:58,2025Q1
Dan Grinthal,5,Airbnb is one of the most revolutionary inventions of the 21st century! Love love love it. App works great.,2025-02-12 14:40:08,2025Q1
Christopher Littleford,1,Very poor customer service. Very disappointing app,2025-02-12 14:31:50,2025Q1
Macho Motivation,1,Staff not good. Not helpful. Airbnb doesn't do much if you have a complaint,2025-02-12 14:17:35,2025Q1
KALAI ARASI,1,THIS APP IS VERY USELESS! SCAMMING PPLS MONEY!,2025-02-12 13:36:17,2025Q1
Ben Rosenfeld,1,Terrible navigation. You can't change dates without starting over. Resets filters when you browse back a page.,2025-02-12 13:19:54,2025Q1
Volker Hartmann,5,"For fast booking, the best",2025-02-12 13:07:04,2025Q1
Sergio De La Cruz,5,It was easy to book,2025-02-12 11:19:05,2025Q1
carlos hernandez,5,Very simple found,2025-02-12 11:19:04,2025Q1
AllDryerVentService by Lint Man,2,"tried to book 3 times for event . 1st time the house was damaged by a hurricane and it still allowed me to book, I had to cancel and get refunded. The next 2 times allowed me to book, 2nd one said only did 30-day minimums so I had to cancel ,and the 3td one said they only did 1 wk mins so I had to cancel that. So over the several weeks. Most other options in area have been booked now in a bind Update the hosts also complained that Airbnb should not allow ppl to bk, but it does",2025-02-12 10:34:02,2025Q1
Regis Spicer,5,All calm and respectful guest,2025-02-12 10:12:17,2025Q1
Sue Sanchez,5,Fast & easy,2025-02-12 08:06:18,2025Q1
D,5,Everything i need on this app. Great description of all the units.,2025-02-12 06:43:20,2025Q1
James Helterbrand,5,Always cool to have the privacy of your own space for the price of a hotel!,2025-02-12 06:01:00,2025Q1
Jennifer L,5,It's easy to use and intuitive.,2025-02-12 05:34:41,2025Q1
Mandi Cockream,5,Very informative,2025-02-12 05:30:27,2025Q1
Lorielle Rainey,5,Great app,2025-02-12 05:19:10,2025Q1
Hope Avalos,5,Very enjoyable and quiet,2025-02-12 05:12:53,2025Q1
helen mcfarlane,5,Very easy and simple to use.,2025-02-12 04:47:55,2025Q1
Malcolm Chumsae,1,Awful customer service. Booked a stay 8 months ago for ultra miami and the renter is allowed to cancel with no repercussions and re-rent the room for a higher rate on vrbo. We are now faced with canceling the entire trip or paying 3x the cost of the original. Will never deal with these people again.,2025-02-12 04:18:36,2025Q1
Jess Smith,5,Easy to navigate and communicate with hosts and guests.,2025-02-12 04:17:25,2025Q1
Wandering Arrow,1,They'll lock your account for no apparent reason and make you jump through hoops to figure it out. Better sites out there without headache,2025-02-12 03:47:23,2025Q1
Ana Delgado,5,I always usted the service and I enjoy LEARNING more about the business There's a Lot of beautiful spaces and Homes that I like to continue visiting You have many options about a hotel room or a sofa.... of You only need to rest Airbnb is the many many options spaces. I love that,2025-02-12 03:36:12,2025Q1
Ann Nielsen,5,It works great and it's a great idea,2025-02-12 03:20:41,2025Q1
Maria Louro,5,"So far, all experiences with Airbnb have been good 🙂",2025-02-12 02:11:59,2025Q1
Vicki Greenhill,5,I've used Airbnb numerous times and always been highly satisfied. That's why I keep coming back.,2025-02-12 01:55:04,2025Q1
MUHAMMAD ASIF,5,Answering Rate 100%,2025-02-12 01:44:30,2025Q1
Deborah Rusa,5,Great,2025-02-12 01:33:23,2025Q1
Gloria Wren,5,"Exactly as advertised, no hassles, great hosts",2025-02-12 01:31:31,2025Q1
JC Errob,1,I am receiving OTP that i did not request for it.. very suspicious.. please check,2025-02-12 00:25:56,2025Q1
Tonya Pattison,5,So easy to book and we have never had any issues,2025-02-11 23:32:16,2025Q1
Jusen Terrlo,1,I do not likes this app especially in Saudi Arabia all reviews are not true reviews about the room. The rooms are totally different from the reality.,2025-02-11 23:03:25,2025Q1
Richard McGarigle,1,"Terrible application, prices have gone up too much and the customer support is abysmal. Customer for 10 years but no more.",2025-02-11 21:32:54,2025Q1
nick phelps,5,Easy,2025-02-11 21:32:12,2025Q1
Faysal Cemaloglu,5,Excellent service thankyou very much,2025-02-11 16:52:32,2025Q1
Sean Moir,5,Good,2025-02-11 16:23:03,2025Q1
L “Laney Bawz” M,5,Always a great experience,2025-02-11 16:18:16,2025Q1
Meghna Rajulapudi,5,Very easy to check and understand the stay compared to others,2025-02-11 14:54:53,2025Q1
jennifer Ashe,5,I've had so much fun finding cool places to surprise my boyfriend with for our anniversary!,2025-02-11 14:52:30,2025Q1
Yustinus G,5,GOOD Application & easy to use and very helpful,2025-02-11 13:40:58,2025Q1
Edward J Lee,5,Nice way to find temporary housing,2025-02-11 12:44:42,2025Q1
Lynnette McInnes,5,Each trip was amazing and easy to book,2025-02-11 12:31:52,2025Q1
Stephanie Walsh,5,Always so easy to use,2025-02-11 09:50:33,2025Q1
Hanwant Singh,1,"So annoying id authentication process. Tried numerous time, paid all amount and still not able to complete my booking.",2025-02-11 09:14:39,2025Q1
Bonnie-Lynn Casselton,5,Easy to use and awesome accomadations,2025-02-11 09:05:53,2025Q1
VZR TECH,1,"Hi, can you fix the messaging function! The host can't even attached the image and send it to guest. The android version keeps crashing the photo and video app when I clicked the attached image to send the airbnb message to guest. What's happening with the new update?",2025-02-11 09:04:09,2025Q1
Wooram Im,1,I got scammed by some host who accused me that I smoked in the room which I've never done. And Airbnb agreed to charge me 120 dollars. Be aware of using this app especially in countries where people are trying to take advange of you.,2025-02-11 08:24:34,2025Q1
Anthony Boatman,5,Everything is exactly what we want,2025-02-11 08:01:51,2025Q1
David Aguilar,5,"Great prices and houses as well, good variety",2025-02-11 07:56:33,2025Q1
praveen antony job,1,Not trust worthy canceled after2 months of booking and payment HMEYCPHCPE Better book through something else,2025-02-11 07:55:41,2025Q1
Vishu Choudhary,3,Pending confirmation after payment deduction.,2025-02-11 07:49:53,2025Q1
Alex A,4,Good,2025-02-11 07:41:21,2025Q1
Adam F,3,Search feature is absolutely terrible. Much easier to use the website when wanting to filter results,2025-02-11 06:49:27,2025Q1
Terrel Rivers,5,"Jed is a great host, professional and patient most of all! House is great",2025-02-11 06:29:50,2025Q1
Christian Tremblay,3,"Edited. After a bad experience with 2 hosts that ended up with the accomodations being unavailable on the same day i was able to get a full refund. Support took over a week to reply but was polite and efficient. I would strongly recommend talking directly with all hosts before booking and traveling to avoid the same experience and double check directions with them too. Finally i wouldnt recommend last minute booking, makes cancelations and refunds much more complicated.",2025-02-11 05:37:20,2025Q1
redguy1948,5,Доволен съм . Добри оферти.,2025-02-11 04:42:21,2025Q1
Kristy Humphrey,5,Excellent app!,2025-02-11 04:21:21,2025Q1
Paul Harris,5,easy to navigate around the App. Easy to use and to book property.,2025-02-11 03:18:45,2025Q1
Katerina Mitsi,3,"So far pretty good!! But with the last update there are no much categories(types of homes). For example a-frame, cabins, island houses etc",2025-02-11 03:01:05,2025Q1
Majid Salim,5,It looks good live wallpaper I like it,2025-02-11 02:52:36,2025Q1
TGUN Music Channel,2,"Terrible experience so far. Couldn't upload a picture from either my mobile or laptop. Had a confirmed booking for July, sorted travel and concert tickets only to have it cancelled with zero information other than the thought they could get more money for the place on that weekend. Beware!",2025-02-11 02:41:50,2025Q1
Tim K,1,"These morons blocked my account, claiming I was sending identical spam messages, when in reality, I was just asking a basic question about the square meters of different apartments because they couldn’t be bothered to include that info in the listings. I filed an appeal, but instead of giving me any proof of wrongdoing, they just deleted my account. Well, screw them—I hope their business crashes and burns. I’ll happily keep booking through decent platforms like Booking and Agoda.",2025-02-11 01:52:28,2025Q1
minj “minjee87818” s,2,category bar has been changed to minimal!,2025-02-11 00:19:21,2025Q1
Mark Albion,1,"13km difference between advertised location and actual location of accommodation. Airbnb claim it's within the area. I'm going to Ao Nang, Thailand, it's a 2 hour 52 minute walk from where I want to be and I don't have a vehicle. No refund available (£191.51) Do not use this site/ app they will scam you and leave it up to the host to pay you back.",2025-02-10 23:52:05,2025Q1
oussama romati,5,nice,2025-02-10 23:15:30,2025Q1
Prashik Gondane,5,"Mr. Danish was incredibly helpful and one of the most polite person I have ever encountered. He provided excellent support during the check-in process. The hotel check-in was remarkably smooth thanks to Mr. Danish. Thank you, Airbnb!",2025-02-10 22:29:30,2025Q1
Karen Gittens,5,Quick and easy.,2025-02-10 22:29:10,2025Q1
Sujal Thapa,1,Worst experience compared to other apps I booked twice both times reservation cancelled and refund late too!! Not recommended,2025-02-10 21:34:12,2025Q1
Mohit Chandran,1,Worst booking expense ever. The app is debiting money before confirming from host side and hosts are some times not accepting and declining to the request. They are giving the location only after the payment that's fine but that mf host did'nt give the exact location. So instead of wasting time with this app download some other,2025-02-10 20:56:43,2025Q1
Djordje Pastornacki,5,Amazing💯,2025-02-10 20:17:19,2025Q1
Aman Chetry,5,Great app,2025-02-10 18:18:48,2025Q1
Vishal Desai,1,"Worst experience, they just want money, no service, waste of time, no customisation instead book a hotel.",2025-02-10 18:03:36,2025Q1
Yagnesh gadhavi,4,Good option available,2025-02-10 18:02:19,2025Q1
Lily Lewis,5,great app easy to use. love the wish lists.,2025-04-27 03:07:10,2025Q2
Hazel Novak,5,"Easy to navigate, tried and tested for many years.",2025-05-17 03:41:38,2025Q2
blastyfs2,3,"I am surprised that I was not asked for a blood sample, skin sample, and my birth certificate to verify my identity as well.",2025-04-12 04:03:27,2025Q2
Melissa Chang,4,Super good interface to use but today the app is always hanging i reinstall n uninstall still i can't open App,2025-05-15 14:36:39,2025Q2
Steve Beltrondo,1,Can't add guests since the update so I cant use it anymore.,2025-05-14 09:45:08,2025Q2
Ernest Arinze,1,"A very terrible app. I will never recommend it to my enemy. so senseless and self-centered. After all the effort I put in your app, you decided to come waste it. This is my first time listing my apartment, you are telling me that I used my app for fraudulent transactions. Please kindly delete my personal information from Airbnb.",2025-04-09 04:12:01,2025Q2
Olivier André,3,oriented to sell not to help you do what's needed,2025-04-29 02:57:07,2025Q2
auter 99,5,love it,2025-05-21 15:17:55,2025Q2
Durga Seti,5,all good,2025-05-13 00:07:03,2025Q2
Timothy McCarthy,5,Easy peasy!,2025-04-11 05:48:21,2025Q2
Anne Freeman,5,Easy to compare and choose suitable accommodation,2025-04-22 10:51:04,2025Q2
Chofo,3,the app needs the option for a dark theme,2025-05-13 10:28:31,2025Q2
vikram arnaiya,5,best app,2025-04-14 23:19:46,2025Q2
Jose D “Animal” A,1,"please fix new update ,05/13/2025 app wont work after update",2025-05-14 09:54:03,2025Q2
Lora Topalova,5,excellent 👌,2025-05-14 04:28:49,2025Q2
Doha Arab,4,great app,2025-04-07 12:36:57,2025Q2
Poon Piau Lai,5,Great way to travel. Hope I can be a host one day.,2025-05-12 12:54:08,2025Q2
Peter Ridsdale,5,All good 👍,2025-05-08 18:53:02,2025Q2
赵伟明,1,"Book a hotel, don't use Airbnb in Taipei because Airbnb helps host bullying guests. Apparently booking experience is not part of Airbnb's user experience concerns. My host in Taipei cancelled my booking less than 2 hours before my arrival and faced no consequence. This host was allowed to remove my review warning other guests. This host left a retaliatory review on me but I was not allowed to remove it. The worst part? The host was recommended by Airbnb and appeared on top of my search.",2025-05-04 07:21:44,2025Q2
Jimmy Brittain,5,"Love this app since discovering it. Cheaper than booking hotels when you have a large family, with much more accomidations.",2025-04-21 11:39:58,2025Q2
Marty Riske,5,easy to use,2025-05-10 04:21:25,2025Q2
Patricia Gomez,5,super easy process!!!,2025-04-02 11:30:28,2025Q2
stan kurylo,5,fab,2025-05-18 23:55:36,2025Q2
Lynna Carlos,5,So far I have had the best experience booking with Airbnb!,2025-05-20 05:47:48,2025Q2
Enikő Nagy,5,Me gusta mucho,2025-04-09 01:10:15,2025Q2
catie evans,5,easy to use.,2025-05-07 02:42:09,2025Q2
Yi-Wen Lan,5,very useful and easy to find an accomodation,2025-05-04 19:52:48,2025Q2
Thomas Rooney,1,"hidden fees and add ons!! search using map and price results, then go to book. suddenly, cleaning fees, Airbnb fees, and it's £40 more expensive per night? piss off",2025-04-09 00:54:45,2025Q2
rickmiranda117,5,super easy. best prices. reputable.,2025-05-13 04:06:10,2025Q2
Karen Benderman,2,difficult to search and pay with gift card,2025-05-10 05:13:15,2025Q2
lamp,2,"They make it a pain to get a tribal ID verified, even though it's listed as an accepted form of photo ID",2025-05-28 05:50:53,2025Q2
Chris Smith,4,Easy,2025-04-11 19:15:02,2025Q2
Rosemarie Eagle,5,very handy when you need somewhere reasonable to stay and bonus with a good host!,2025-05-02 20:01:46,2025Q2
M Sameed,1,"Greedy fraudsters. The ""cleaning"" and other fees often come to higher than the actual rent.",2025-05-04 02:12:50,2025Q2
Kurtis E,1,"anyone else log in, and just get a white screen with only log out at top right?",2025-05-19 10:36:57,2025Q2
Nemo Bernard,5,the filter options make house searching become much easier. especially you can seek on map with price showing,2025-05-17 21:23:10,2025Q2
Marcus D' Ort,5,Great location.Cute.,2025-04-16 22:23:37,2025Q2
